fecha,ticker,tipo,shares,precio,valor,comision
2021-12-31,MRNA,AJUSTE_COMPRA,21,253.98,5333.58,23.0
2021-12-31,F,AJUSTE_VENTA,164,15.838618,2597.5334,23.0
2021-12-31,DXCM,AJUSTE_COMPRA,3,134.2375,402.71252,23.0
2021-12-31,NVDA,AJUSTE_COMPRA,52,29.354136,1526.415,23.0
2021-12-31,FANG,AJUSTE_VENTA,11,89.14707,980.6178,23.0
2021-12-31,FTNT,AJUSTE_VENTA,37,71.88,2659.5598,23.0
2021-12-31,TSLA,AJUSTE_COMPRA,4,352.25964,1409.0386,23.0
2021-12-31,ENPH,AJUSTE_COMPRA,30,182.94,5488.2,23.0
2021-12-31,DVN,AJUSTE_VENTA,64,36.10133,2310.485,23.0
2021-12-31,MRO-202411,AJUSTE_VENTA,135,15.692916,2118.5437,23.0
2021-12-31,IT,AJUSTE_VENTA,6,334.32,2005.92,23.0
2021-12-31,BBWI,AJUSTE_COMPRA,13,63.463722,825.0284,23.0
2021-12-31,ALB,AJUSTE_COMPRA,8,222.12206,1776.9764,23.0
2021-12-31,XLNX-202202,COMPRA,106,211.64325,22434.184,51.59862518310547
2021-12-31,ANET,COMPRA,626,35.9375,22496.875,51.74281311035156
2021-12-31,AMD,COMPRA,156,143.9,22448.398,51.631317138671875
2021-12-31,ETSY,COMPRA,102,218.94,22331.88,51.36332702636719
2021-12-31,EXR,COMPRA,117,192.30615,22499.82,51.74958801269531
2021-12-31,MPWR,COMPRA,47,478.54303,22491.521,51.730499267578125
2022-01-31,XLNX-202202,VENTA,106,181.48836,19237.766,44.24686050415039
2022-01-31,DXCM,VENTA,168,103.75,17430.0,40.0890007019043
2022-01-31,ENPH,VENTA,123,125.0,15375.0,35.36249923706055
2022-01-31,ETSY,VENTA,102,146.62,14955.239,34.39705276489258
2022-01-31,MRNA,VENTA,88,160.05,14084.4,32.39412307739258
2022-01-31,INTU,VENTA,36,521.7986,18784.75,43.204925537109375
2022-01-31,MPWR,VENTA,47,364.54556,17133.64,39.40737533569336
2022-01-31,ALB,VENTA,101,196.68591,19865.277,45.69013977050781
2022-01-31,F,AJUSTE_VENTA,169,15.559798,2629.606,23.0
2022-01-31,NVDA,AJUSTE_COMPRA,31,24.438658,757.5984,23.0
2022-01-31,FANG,AJUSTE_VENTA,66,104.28182,6882.6,23.0
2022-01-31,FTNT,AJUSTE_COMPRA,13,59.447998,772.824,23.0
2022-01-31,TSLA,AJUSTE_VENTA,1,312.23965,312.23965,23.0
2022-01-31,AMD,AJUSTE_COMPRA,14,114.25,1599.5,23.0
2022-01-31,IT,AJUSTE_VENTA,1,293.89,293.89,23.0
2022-01-31,DVN,AJUSTE_VENTA,154,41.44482,6382.5024,23.0
2022-01-31,MRO-202411,AJUSTE_VENTA,388,18.60786,7219.85,23.0
2022-01-31,BBWI,AJUSTE_COMPRA,27,50.987404,1376.6599,23.0
2022-01-31,AZO,COMPRA,9,1986.35,17877.15,41.11744689941406
2022-01-31,MAA,COMPRA,110,177.20612,19492.672,44.83314514160156
2022-01-31,SBNY,COMPRA,64,300.23093,19214.78,44.193992614746094
2022-01-31,PFE,COMPRA,458,42.51533,19472.021,44.78565216064453
2022-01-31,NUE,COMPRA,204,95.47915,19477.746,44.7988166809082
2022-01-31,PLD,COMPRA,140,139.06465,19469.05,44.77881622314453
2022-01-31,ODFL,COMPRA,131,147.83376,19366.223,44.54231262207031
2022-01-31,CF,COMPRA,308,63.22094,19472.049,44.78571319580078
2022-02-28,AZO,VENTA,9,1829.69,16467.209,37.87458038330078
2022-02-28,MAA,VENTA,110,177.52336,19527.57,44.913414001464844
2022-02-28,ANET,VENTA,626,30.5975,19154.035,44.054283142089844
2022-02-28,PFE,VENTA,458,37.778854,17302.715,39.79624557495117
2022-02-28,EXR,VENTA,117,163.03572,19075.18,43.8729133605957
2022-02-28,NUE,VENTA,204,121.29807,24744.807,56.913055419921875
2022-02-28,FTNT,VENTA,328,64.51,21159.281,48.66634750366211
2022-02-28,TSLA,VENTA,63,271.6697,17115.191,39.36494064331055
2022-02-28,AMD,VENTA,170,120.31,20452.7,47.04121017456055
2022-02-28,PLD,VENTA,140,129.90422,18186.592,41.82916259765625
2022-02-28,IT,VENTA,67,281.63,18869.21,43.39918518066406
2022-02-28,ODFL,VENTA,131,147.08463,19268.086,44.31659698486328
2022-02-28,BBWI,VENTA,382,48.78997,18637.77,42.86687088012695
2022-02-28,F,AJUSTE_COMPRA,226,13.459609,3041.8716,23.0
2022-02-28,SBNY,AJUSTE_VENTA,5,339.90955,1699.5477,23.0
2022-02-28,NVDA,AJUSTE_COMPRA,21,24.337854,511.09494,23.0
2022-02-28,FANG,AJUSTE_VENTA,12,114.15124,1369.8148,23.0
2022-02-28,DVN,AJUSTE_VENTA,62,48.80441,3025.8733,23.0
2022-02-28,MRO-202411,AJUSTE_VENTA,127,21.632427,2747.3184,23.0
2022-02-28,CF,AJUSTE_VENTA,41,74.8229,3067.7388,23.0
2022-02-28,CMA,COMPRA,253,78.692924,19909.31,45.79141616821289
2022-02-28,EOG,COMPRA,208,95.40456,19844.148,45.64154052734375
2022-02-28,MPC,COMPRA,278,71.6191,19910.111,45.79325866699219
2022-02-28,PXD-202405,COMPRA,97,203.97316,19785.396,45.506412506103516
2022-02-28,XOM,COMPRA,289,68.78886,19879.98,45.72395706176758
2022-02-28,HAL,COMPRA,645,30.891521,19925.031,45.827571868896484
2022-02-28,LYV,COMPRA,164,120.82,19814.48,45.573307037353516
2022-02-28,CVX,COMPRA,160,123.82103,19811.365,45.566139221191406
2022-02-28,COP,COMPRA,242,82.32318,19922.209,45.821083068847656
2022-02-28,SLB,COMPRA,553,35.976505,19895.008,45.75851821899414
2022-02-28,SCHW,COMPRA,248,80.12845,19871.855,45.70526885986328
2022-02-28,OXY,COMPRA,482,41.265118,19889.787,45.74650955200195
2022-02-28,APA,COMPRA,638,31.238083,19929.896,45.83876419067383
2022-03-31,CMA,VENTA,253,76.88867,19452.834,44.741519927978516
2022-03-31,F,VENTA,1483,13.183672,19551.385,44.96818542480469
2022-03-31,MPC,VENTA,278,77.79966,21628.305,49.74510192871094
2022-03-31,LYV,VENTA,164,118.12,19371.68,44.55486297607422
2022-03-31,NVDA,VENTA,820,27.733013,22741.07,52.30446243286133
2022-03-31,SLB,VENTA,553,38.222744,21137.178,48.615509033203125
2022-03-31,SCHW,VENTA,248,83.91382,20810.627,47.864444732666016
2022-03-31,EOG,AJUSTE_COMPRA,5,99.8383,499.19153,23.0
2022-03-31,SBNY,AJUSTE_COMPRA,14,289.25177,4049.525,23.0
2022-03-31,XOM,AJUSTE_COMPRA,5,72.44672,362.23358,23.0
2022-03-31,PXD-202405,AJUSTE_COMPRA,3,212.85228,638.5568,23.0
2022-03-31,HAL,AJUSTE_VENTA,35,35.015324,1225.5364,23.0
2022-03-31,CVX,AJUSTE_VENTA,7,140.01236,980.08655,23.0
2022-03-31,COP,AJUSTE_COMPRA,3,87.043205,261.1296,23.0
2022-03-31,FANG,AJUSTE_COMPRA,11,113.80774,1251.8851,23.0
2022-03-31,OXY,AJUSTE_VENTA,84,53.669586,4508.245,23.0
2022-03-31,APA,AJUSTE_VENTA,48,36.235474,1739.3027,23.0
